Unique ID,ID,Monomer 1,Monomer 2,Orientation,Rot ID,Axis,Angle,Dist.,CCSD(T)/CBS,CCSD(T)/haTZ,CCSD/haTZ,CCSD/CBS,MP2/CBS,MP2/haTZ,MP2/aTZ,MP2/aQZ,HF/haTZ,HF/aTZ,HF/aQZ,SAPT2+/aDZ Elst,SAPT2+/aDZ Exch,SAPT2+ Ind,SAPT2+/aDZ Disp,SAPT2+/aDZ Tot
1,1,Water,Water,,,,,0.7,4.5596,5.43067,5.92415,5.05308,4.29022,5.16129,5.07015,4.60507,8.2345,8.20008,8.16646,-26.40563,52.82008,-14.36712,-6.80236,5.24496
2,1,Water,Water,,,,,0.8,-2.3731,-1.79572,-1.41704,-1.99442,-2.47688,-1.8995,-1.96771,-2.27417,0.23879,0.21473,0.18607,-16.59552,26.66512,-7.23598,-4.417,-1.58339
3,1,Water,Water,,,,,0.9,-4.64641,-4.25464,-3.9798,-4.37157,-4.66314,-4.27137,-4.31722,-4.53335,-2.83886,-2.85023,-2.88849,-10.78194,13.33984,-3.75702,-2.90041,-4.09954
4,1,Water,Water,,,,,0.95,-4.94136,-4.62059,-4.39011,-4.71089,-4.93598,-4.6152,-4.65147,-4.8321,-3.45357,-3.45927,-3.49756,-8.83284,9.40502,-2.7348,-2.35499,-4.51761
5,1,Water,Water,,,,,1,-4.93911,-4.67955,-4.48798,-4.74754,-4.9214,-4.66184,-4.68999,-4.83812,-3.72461,-3.72552,-3.75953,-7.32063,6.61652,-2.00414,-1.91675,-4.62501
6,1,Water,Water,,,,,1.05,-4.75859,-4.55129,-4.39334,-4.60064,-4.73547,-4.52817,-4.54946,-4.66847,-3.77565,-3.77259,-3.7998,-6.13726,4.64501,-1.47926,-1.56386,-4.53538
7,1,Water,Water,,,,,1.1,-4.47857,-4.31508,-4.18584,-4.34933,-4.45466,-4.29117,-4.3065,-4.40056,-3.69001,-3.68356,-3.70349,-5.20161,3.25488,-1.10028,-1.28012,-4.32713
8,1,Water,Water,,A,y,-30,0.7,2.28321,3.03016,3.49231,2.74536,2.1353,2.88225,2.80623,2.40585,5.68387,5.65869,5.62907,-21.8234,40.35458,-9.77153,-5.6972,3.06245
9,1,Water,Water,,A,y,30,0.7,2.28478,3.03187,3.49409,2.74701,2.13677,2.88386,2.80783,2.40737,5.68626,5.66109,5.63146,-21.82867,40.36398,-9.77309,-5.69816,3.06406
10,1,Water,Water,,A,y,-30,0.8,-2.82218,-2.3384,-2.00643,-2.49021,-2.83898,-2.3552,-2.40671,-2.67127,-0.53076,-0.54282,-0.57756,-13.15503,19.30396,-4.72419,-3.60611,-2.18136
11,1,Water,Water,,A,y,30,0.8,-2.82198,-2.33812,-2.00609,-2.48995,-2.83884,-2.35498,-2.40649,-2.6711,-0.52998,-0.54204,-0.57678,-13.15827,19.30891,-4.72496,-3.60675,-2.18108
12,1,Water,Water,,A,y,-30,0.9,-4.21625,-3.90259,-3.6748,-3.98846,-4.18156,-3.8679,-3.90071,-4.07808,-2.71034,-2.71205,-2.74761,-8.31152,9.13926,-2.3601,-2.30237,-3.83473
13,1,Water,Water,,A,y,30,0.9,-4.2166,-3.90289,-3.67506,-3.98876,-4.18194,-3.86823,-3.90105,-4.07844,-2.7103,-2.712,-2.74756,-8.31354,9.14181,-2.36049,-2.30281,-3.83503
14,1,Water,Water,,A,y,-30,0.95,-4.28616,-4.03714,-3.85094,-4.09997,-4.24361,-3.99459,-4.0205,-4.16198,-3.07865,-3.07685,-3.10646,-6.74379,6.26665,-1.68878,-1.84592,-4.01184
15,1,Water,Water,,A,y,30,0.95,-4.28662,-4.03757,-3.85133,-4.10038,-4.24409,-3.99505,-4.02096,-4.16245,-3.07878,-3.07699,-3.10659,-6.7454,6.26847,-1.68906,-1.84628,-4.01227
16,1,Water,Water,,A,y,-30,1,-4.152,-3.95657,-3.80555,-4.00098,-4.10849,-3.91306,-3.93308,-4.04376,-3.19125,-3.1867,-3.20868,-5.54738,4.28835,-1.21936,-1.48435,-3.96274
17,1,Water,Water,,A,y,30,1,-4.15254,-3.95706,-3.80601,-4.00148,-4.10904,-3.91357,-3.93359,-4.0443,-3.19149,-3.18694,-3.20892,-5.54867,4.28964,-1.21956,-1.48465,-3.96324
18,1,Water,Water,,A,y,-30,1.05,-3.90595,-3.75411,-3.63251,-3.78435,-3.86563,-3.71379,-3.72851,-3.81399,-3.14751,-3.14061,-3.15533,-4.6234,2.93016,-0.88891,-1.1972,-3.77934
19,1,Water,Water,,A,y,30,1.05,-3.90648,-3.75462,-3.63299,-3.78484,-3.86617,-3.71432,-3.72903,-3.81453,-3.14781,-3.1409,-3.15563,-4.62444,2.93108,-0.88905,-1.19744,-3.77986
